Sample_ID,Collection_date,site,trt,leachate,DOC_mgL,Delta_13C,DOC_12_mgL,AF,DOC_13_mgL,date
lake water,7/13/2023,flathead,W,0,1.48,-18.001,1.4722824473998894,0.010914478771848552,0.01624651779186712,2023-07-13
LW_7/13,7/13/2023,flathead,W,0,1.57,-18.012,1.5386729697534076,0.010914357846168697,0.016978941645079407,2023-07-13
LW_NP_7/13,7/13/2023,flathead,NP,0,1.43,-17.639,1.401200729396087,0.010918458309542104,0.015467836677108984,2023-07-13
LW_CNP_7/13,7/13/2023,flathead,CNP,0,2.44,-15.307,2.383972397316702,0.010944093679801451,0.026379112727171035,2023-07-13
LW_C_7/13,7/13/2023,flathead,C,0,2.51,-15.433,2.4679531302801223,0.010942708612280807,0.02730488133354759,2023-07-13
LW_leachate_7/13,7/13/2023,flathead,W,1,1.62,4671.528,1.5488417611371488,0.05991367072087431,0.09871092939588683,2023-07-13
LW_NP_leachate_7/13,7/13/2023,flathead,NP,1,1.51,5165.287,1.4385941644991598,0.0647917538845695,0.099666613754925,2023-07-13
LW_CNP_leachate_7/13,7/13/2023,flathead,CNP,1,2.52,3401.073,2.4193915225595983,0.04712512948157078,0.11965279208717534,2023-07-13
LW_C_leachate_7/13,7/13/2023,flathead,C,1,2.71,1722.81,4.682933701817617,0.02968839191402637,0.14328260106174592,2023-07-13
LW_leachate_7/3,7/3/2023,flathead,W,1,1.87,2591.455,1.8527495612160414,0.03879232156423939,0.07477307804454819,2023-07-03
LW_leachate_7/6,7/6/2023,flathead,W,1,1.62,2867.017,1.5950065899260268,0.04164479216692816,0.06931012363624575,2023-07-06
LW_leachate_7/10,7/10/2023,flathead,W,1,1.68,2613.328,1.6478240098613675,0.03901935944984895,0.06690773428491002,2023-07-10
LW_C_leachate_7/13 (REP),NA,flathead,C,1,2.71,2820.441,2.699701180527641,0.04116385182875989,0.11590103229746096,NA
Nyack SC,7/21/2023,nyack_sc,W,0,0.56,102.868,0.7733242525978102,0.012241438329109353,0.009583922138388748,2023-07-21
Nyack MC,7/21/2023,nyack_mc,W,0,0.82,78.408,1.1014309244243825,0.011973191810387786,0.01334745536731937,2023-07-21
Flathead Lake WL,7/18/2023,flathead,W,1,1.5,3689.228,1.8851447140298094,0.05005614475730707,0.09933542511292982,2023-07-18
Flathead Lake WL,7/18/2023,flathead,W,1,1.46,3339.909,1.9133145409962338,0.046500661378618004,0.09330933748762713,2023-07-18
Flathead Lake WL,7/18/2023,flathead,W,1,1.36,3380.978,1.8086528302094949,0.04692005514000497,0.08903984495762479,2023-07-18
Flathead Lake WL,7/18/2023,flathead,W,1,2.05,2661.96,2.548285767124767,0.03952376691136854,0.10486241013951582,2023-07-18
Flathead Lake CL,7/18/2023,flathead,C,1,1.6,3779.738,1.8981737194729562,0.050973064137713915,0.10195256540248324,2023-07-18
Flathead Lake CL,7/18/2023,flathead,C,1,1.57,3863.852,1.9769631956751876,0.05182360283163066,0.10805305402179236,2023-07-18
Flathead Lake CL,7/18/2023,flathead,C,1,1.5,4543.417,1.6707456298384773,0.058639674441783356,0.10407489794161895,2023-07-18
Flathead Lake CL,7/18/2023,flathead,C,1,1.63,3926.996,1.9428508558713502,0.05246109725534616,0.1075671799936285,2023-07-18
Flathead Lake NPL,7/18/2023,flathead,NP,1,1.53,3751.41,1.8990788893627406,0.0506862752477293,0.10139665401815491,2023-07-18
Flathead Lake NPL,7/18/2023,flathead,NP,1,1.5,3785.668,1.8855048342455794,0.05103307673431148,0.1013977521554033,2023-07-18
Flathead Lake NPL,7/18/2023,flathead,NP,1,1.48,4255.457,1.899327437941996,0.05576342209381487,0.11216786141793218,2023-07-18
Flathead Lake NPL,7/18/2023,flathead,NP,1,1.62,4249.639,1.8806970917529777,0.05570512857408448,0.1109446598463557,2023-07-18
Flathead Lake CNPL,7/18/2023,flathead,CNP,1,1.47,3517.562,1.942650894940254,0.04831219149406072,0.09861818256325416,2023-07-18
Flathead Lake CNPL,7/18/2023,flathead,CNP,1,1.57,3862.405,1.8855459061573128,0.05180898403521684,0.10302588413619913,2023-07-18
Flathead Lake CNPL,7/18/2023,flathead,CNP,1,1.57,3597.593,1.999715870365887,0.04912602173279538,0.1033134648253089,2023-07-18
Flathead Lake CNPL,7/18/2023,flathead,CNP,1,1.64,3914.323,1.923624649395863,0.052333220899477645,0.10622876724671551,2023-07-18
Flathead Lake CL (REP),NA,flathead,C,1,1.6,4452.36,1.7172852927496485,0.05773205925516797,0.10521679873845899,NA
Flathead Lake W,7/18/2023,flathead,W,0,1.54,35.523,1.8455677987119565,0.01150253124196956,0.021475726478621605,2023-07-18
Flathead Lake W,7/18/2023,flathead,W,0,1.68,33.37,1.9702402106593877,0.011478890361350956,0.022878794537783215,2023-07-18
Flathead Lake W,7/18/2023,flathead,W,0,1.62,33.515,1.9019114751516244,0.011480482560213234,0.022088447558525483,2023-07-18
Flathead Lake C,7/18/2023,flathead,C,0,2.59,20.8,2.8610351430479186,0.011340843693212642,0.03281874461093479,2023-07-18
Flathead Lake C,7/18/2023,flathead,C,0,2.47,19.656,2.8897851636953047,0.011328278104505323,0.033111384974024945,2023-07-18
Flathead Lake C,7/18/2023,flathead,C,0,2.18,25.48,2.715082929038306,0.011392245048411234,0.03128732290379127,2023-07-18
Flathead Lake C,7/18/2023,flathead,C,0,2.5,18.915,2.8936665652095988,0.011320138859550473,0.03313176349483443,2023-07-18
Flathead Lake NP,7/18/2023,flathead,NP,0,1.59,28.884,1.827802926621743,0.011429628488625757,0.02113264670250037,2023-07-18
Flathead Lake NP,7/18/2023,flathead,NP,0,1.51,31.589,1.8980796139844731,0.011459333348639408,0.022002865185692912,2023-07-18
Flathead Lake NP,7/18/2023,flathead,NP,0,1.6,30.169,1.861322370091505,0.01144373989240809,0.021547068102051613,2023-07-18
Flathead Lake W (REP),NA,flathead,W,0,1.54,26.945,1.7765478271639292,0.011408334331492704,0.020501337682700092,NA
Nyack MC W,7/27/2023,nyack_mc,W,0,0.62,49.767,0.8507731754747897,0.011658908102307724,0.010036096191977279,2023-07-27
Nyack SC W,7/27/2023,nyack_sc,W,0,0.7,33.235,1.19888631424435,0.011477407964696082,0.013919871374453935,2023-07-27
Nyack MC C,7/27/2023,nyack_mc,C,0,1.38,22.401,1.6639423005417342,0.011358428390784254,0.019116907491900093,2023-07-27
Nyack SC C,7/27/2023,nyack_sc,C,0,0.7,36.792,1.039205072749591,0.011516464886729905,0.012107403214420616,2023-07-27
Nyack MC NP,7/27/2023,nyack_mc,NP,0,0.72,36.807,1.0015746273105073,0.01151662958467356,0.011669153300268548,2023-07-27
Nyack SC NP,7/27/2023,nyack_sc,NP,0,0.68,36.19,0.9930669195322511,0.01150985496395677,0.011563146350743602,2023-07-27
Nyack MC CNP,7/27/2023,nyack_mc,CNP,0,0.8,32.54,1.1152303457788668,0.01146977629673991,0.0129398598835955,2023-07-27
Nyack SC CNP,7/27/2023,nyack_sc,CNP,0,0.69,42.164,0.991014488355426,0.011575445200695533,0.011605775926299992,2023-07-27
Nyack MC WL,7/21/2023,nyack_mc,W,1,0.8,5371.017,1.0427780115041103,0.06680935097276568,0.07465497241092438,2023-07-21
Nyack SC WL,7/21/2023,nyack_sc,W,1,0.7,6248.154,1.0027417894207593,0.07531465601516514,0.08167227201504582,2023-07-21
Nyack MC W (REP),NA,nyack_mc,W,0,0.62,202.545,0.7642475718155086,0.013333065773940599,0.010327459843967922,NA
Nyack MC CL,7/21/2023,nyack_mc,C,1,1.31,4620.599,1.4960771630676721,0.05940762185977983,0.09449192704741093,2023-07-21
Nyack SC CL,7/21/2023,nyack_sc,C,1,1.48,3626.949,1.9749309828879014,0.04942419225738908,0.10268446535066446,2023-07-21
Nyack MC NPL,7/21/2023,nyack_mc,NP,1,0.82,5241.845,1.104985232621002,0.06554357768606778,0.07750461520389777,2023-07-21
Nyack SC NPL,7/21/2023,nyack_sc,NP,1,0.7,6653.088,1.0017553225510478,0.0791890768436753,0.08615023694998919,2023-07-21
Nyack MC CNPL,7/21/2023,nyack_mc,CNP,1,1.34,4068.19,1.7374718198005215,0.05388347853712136,0.09895295493447089,2023-07-21
Nyack SC CNPL,7/21/2023,nyack_sc,CNP,1,1.53,3878.052,1.8179487376134484,0.05196703911785646,0.09965203432790823,2023-07-21
Nyack MC WL,7/27/2023,nyack_mc,W,1,0.77,5839.41,1.0940037890043204,0.07137057418794455,0.08408055615591464,2023-07-27
Nyack SC WL,7/27/2023,nyack_sc,W,1,0.79,5999.817,1.1129556181725544,0.07292238924369102,0.08754324541730872,2023-07-27
Nyack MC CL,7/27/2023,nyack_mc,C,1,0.69,5976.1,1.0918722838118633,0.07269327221546383,0.08559386745881384,2023-07-27
Nyack SC CL,7/27/2023,nyack_sc,C,1,0.7,6463.399,0.9970595751167316,0.07737817695126936,0.08362110054952059,2023-07-27
Nyack MC CL (REP),NA,nyack_mc,C,1,1.31,4515.556,1.5582588730228941,0.058362154237496286,0.09657995916218375,NA
Nyack MC NPL,7/27/2023,nyack_mc,NP,1,0.81,6705.826,0.9523286641534899,0.07969128731354543,0.08246395600281237,2023-07-27
Nyack SC NPL,7/27/2023,nyack_sc,NP,1,0.74,6033.554,1.172025072259509,0.07324810903311195,0.09263387657384635,2023-07-27
Nyack MC CNPL,7/27/2023,nyack_mc,CNP,1,0.97,5272.644,1.3353984457371697,0.06584569276369688,0.09412817036113633,2023-07-27
Nyack SC CNPL,7/27/2023,nyack_sc,CNP,1,1.17,4910.711,1.4414832770943988,0.06228301373920693,0.09574309100457987,2023-07-27
Flathead Lake NP,7/18/2023,flathead,NP,0,1.67,154.449,1.7828923789723872,0.012806636695372969,0.02312906043859094,2023-07-18
Flathead Lake CNP,7/18/2023,flathead,CNP,0,1.72,75.586,1.8609182140116083,0.011942234288810274,0.022492127561028613,2023-07-18
Flathead Lake CNP,7/18/2023,flathead,CNP,0,1.57,62.658,1.79545943126397,0.011800388492854414,0.021440120564063872,2023-07-18
Flathead Lake CNP,7/18/2023,flathead,CNP,0,1.51,55.051,1.7255895463672026,0.011716905584214577,0.020458277497748964,2023-07-18
Flathead Lake CNP,7/18/2023,flathead,CNP,0,1.49,52.306,1.6855514188858844,0.011686777159033745,0.019931599990120008,2023-07-18
Nyack MC C,7/21/2023,nyack_mc,C,0,1.48,54.587,1.6786919862045564,0.011711812966671783,0.01989351570628003,2023-07-21
Nyack SC C,7/21/2023,nyack_sc,C,0,1.76,41.331,1.9808081829172228,0.011566299980185577,0.023178713601496623,2023-07-21
Nyack MC NP,7/21/2023,nyack_mc,NP,0,0.7,75.784,0.8934833060385473,0.011944406424831933,0.010801140958588178,2023-07-21
Nyack SC NP,7/21/2023,nyack_sc,NP,0,0.71,73.86,0.9005035331372045,0.011923299001618357,0.010866537857597171,2023-07-21
Nyack MC CNP,7/21/2023,nyack_mc,CNP,0,1.78,34.032,1.937711679987927,0.011486159530962008,0.022515481898350675,2023-07-21
Nyack SC CNP,7/21/2023,nyack_sc,CNP,0,1.59,37.137,1.7874257441577353,0.011520252925548641,0.020831581748920917,2023-07-21
Nyack MC NPL (REP),NA,nyack_mc,NP,1,0.81,7226.266,0.7698033947210564,0.08461808400010642,0.07116077691672576,NA
