,Syringe,H2O_mL,air_mL,eq_temp,ResetTime,DATETIME,samplenum,ENDTIME,CO2,delCO2,CH4,delCH4
1,Std_1,0,70,21,2022-07-19 21:35:12,2022-07-19 21:35:12,1,2022-07-19 21:35:42,451.3623827,-4.859900427,0.272811474,-47.71269763
2,Std_1,0,70,21,2022-07-19 21:38:17,2022-07-19 21:38:17,2,2022-07-19 21:38:47,434.5629387,-2.944904895,0.036855864,8.919685539
3,73,70,70,21,2022-07-19 21:40:43,2022-07-19 21:40:43,3,2022-07-19 21:41:13,536.3553214,22.41483018,0.27988394,-66.8898323
4,110n,70,70,21,2022-07-19 21:43:14,2022-07-19 21:43:14,4,2022-07-19 21:43:44,605.6896134,19.45250701,0.375389942,-58.58563046
5,BH12,70,70,21,2022-07-19 21:45:37,2022-07-19 21:45:37,5,2022-07-19 21:46:07,551.7300312,23.6843551,0.287301257,-54.27272612
6,8G,70,70,21,2022-07-19 21:47:54,2022-07-19 21:47:54,6,2022-07-19 21:48:24,557.6242899,23.47981712,0.29123407,-47.17165598
7,33,70,70,21,2022-07-19 21:50:27,2022-07-19 21:50:27,7,2022-07-19 21:50:57,1815.848714,23.47073244,0.328311716,-71.38488569
8,37,70,70,21,2022-07-19 21:52:59,2022-07-19 21:52:59,8,2022-07-19 21:53:29,1752.094302,23.41618284,0.284543064,-64.37224846
9,71,70,70,21,2022-07-19 21:55:12,2022-07-19 21:55:12,9,2022-07-19 21:55:42,1782.938648,23.09377711,0.287859737,-59.58699207
10,74,70,70,21,2022-07-19 21:57:26,2022-07-19 21:57:26,10,2022-07-19 21:57:56,1761.063994,23.00702136,0.28494886,-41.172659
11,BH21,70,70,21,2022-07-19 21:59:50,2022-07-19 21:59:50,11,2022-07-19 22:00:20,1063.645423,24.40918911,0.274963657,-41.12174152
12,32,70,70,21,2022-07-19 22:02:15,2022-07-19 22:02:15,12,2022-07-19 22:02:45,1111.593749,24.3406333,0.351739159,-70.83976655
13,70,70,70,21,2022-07-19 22:04:26,2022-07-19 22:04:26,13,2022-07-19 22:04:56,1035.370214,21.90271191,0.283825585,-65.49533624
14,72,70,70,21,2022-07-19 22:06:45,2022-07-19 22:06:45,14,2022-07-19 22:07:15,1024.383721,22.05780523,0.276932328,-47.53211382
15,BH13,70,70,21,2022-07-19 22:09:18,2022-07-19 22:09:18,15,2022-07-19 22:09:48,1129.406927,22.70542093,0.277729943,-69.35700389
16,30,70,70,21,2022-07-19 22:11:33,2022-07-19 22:11:33,16,2022-07-19 22:12:03,1009.292523,22.52998914,0.278508614,-45.32733548
17,4048,70,70,21,2022-07-19 22:14:01,2022-07-19 22:14:01,17,2022-07-19 22:14:31,955.3799578,23.20130512,0.251978327,-52.68778666
18,4002,70,70,21,2022-07-19 22:16:15,2022-07-19 22:16:15,18,2022-07-19 22:16:45,1056.177373,22.37406696,0.31168528,-57.40234915